timestamp,temperature,wind_speed,visibility
0,-11.0,3.68,502.52
1,-9.53,5.57,493.32
2,-10.31,5.83,472.09
3,-10.24,6.76,469.33
4,-10.44,6.2,475.83
5,-10.56,6.57,470.47
6,-9.85,7.94,468.48
7,-9.52,6.06,457.48
8,-9.47,7.78,439.42
9,-10.92,8.6,425.65
10,-9.85,8.49,421.59
11,-9.39,9.26,420.16
12,-10.24,8.86,394.6
13,-9.89,9.6,389.98
14,-10.27,8.75,379.49
15,-10.32,9.03,384.61
16,-10.95,8.99,369.21
17,-9.05,10.01,363.57
18,-10.28,11.96,332.11
19,-9.44,10.89,340.88
20,-10.96,11.38,349.45
21,-9.79,10.15,316.06
22,-10.18,13.12,315.29
23,-10.78,11.29,315.65
24,-9.62,12.42,312.81
25,-10.37,12.85,302.12
26,-10.48,13.2,278.1
27,-10.15,13.77,255.72
28,-10.27,17.18,248.61
29,-10.16,15.22,258.28
30,-9.7,15.13,243.56
31,-10.1,12.69,250.99
32,-10.62,14.71,248.07
33,-9.26,16.99,240.98
34,-9.16,15.79,223.48
35,-10.45,15.33,203.5
36,-11.28,17.23,204.01
37,-9.81,16.34,202.14
38,-10.29,18.44,184.98
39,-9.96,17.66,189.96
40,-10.34,17.14,172.68
41,-9.3,20.63,172.87
42,-10.39,18.87,151.24
43,-9.72,18.5,137.18
44,-9.7,17.75,139.58
45,-9.25,19.51,123.65
46,-10.09,19.75,114.44
47,-10.32,19.37,116.55
48,-10.23,18.88,99.31
49,-9.41,20.3,96.36
50,-9.31,21.23,68.12
51,-9.09,22.97,98.68
52,-10.21,21.63,77.4
53,-9.99,22.64,63.22
54,-9.78,23.87,56.73
55,-9.95,20.3,53.87
56,-9.25,21.81,63.23
57,-9.32,22.31,29.79
58,-9.53,24.97,38.15
59,-10.08,22.69,22.53
