timestamp,temperature,humidity,stress,vibration
0,-12.21,50.05,18.72,0.342
1,-11.44,43.94,20.87,0.328
2,-11.08,44.02,20.65,0.302
3,-12.15,47.09,19.9,0.281
4,-12.18,46.36,21.85,0.321
5,-11.42,48.69,18.93,0.312
6,-11.37,46.17,18.47,0.327
7,-12.21,44.28,19.31,0.319
8,-12.17,46.18,19.95,0.331
9,-12.11,47.22,20.24,0.284
10,-12.54,46.64,19.76,0.34
11,-12.37,46.01,20.35,0.306
12,-12.4,47.13,18.75,0.362
13,-12.31,47.34,21.44,0.279
14,-12.01,47.76,19.92,0.352
15,-11.91,46.3,21.12,0.306
16,-11.38,44.67,20.34,0.28
17,-12.4,45.29,20.46,0.285
18,-11.61,47.41,20.57,0.29
19,-12.09,43.37,20.45,0.313
20,-12.02,45.74,20.64,0.316
21,-11.73,44.21,21.33,0.283
22,-12.45,45.06,20.2,0.299
23,-11.85,47.56,20.71,0.364
24,-11.93,45.38,19.91,0.352
25,-11.8,45.09,21.44,0.313
26,-11.88,42.28,19.32,0.301
27,-11.02,46.49,21.8,0.304
28,-12.26,46.29,19.96,0.318
29,-12.21,49.33,18.57,0.269
30,-12.25,44.38,20.13,0.292
31,-12.22,45.44,19.32,0.25
32,-12.25,45.5,20.84,0.312
33,-11.52,48.15,19.35,0.319
34,-11.43,44.81,19.55,0.286
35,-12.23,45.56,18.11,0.347
36,-12.33,46.22,19.55,0.263
37,-11.81,45.37,17.58,0.256
38,-12.22,44.11,18.42,0.307
39,-11.75,45.39,20.76,0.331
40,-11.92,47.15,20.79,0.351
41,-12.61,42.95,20.43,0.286
42,-11.38,45.27,19.03,0.332
43,-11.28,43.6,19.95,0.299
44,-12.25,47.39,20.0,0.295
45,-12.16,41.95,18.84,0.327
46,-11.89,43.88,21.5,0.32
47,-11.87,45.75,20.88,0.253
48,-11.74,48.13,19.78,0.344
49,-11.2,44.87,20.03,0.341
50,-12.07,43.89,20.21,0.281
51,-12.32,48.76,17.96,0.312
52,-12.55,42.1,19.75,0.315
53,-12.29,40.6,19.32,0.308
54,-12.01,45.88,19.0,0.283
55,-11.28,44.0,19.72,0.28
56,-12.21,42.96,21.8,0.299
57,-11.91,46.42,20.64,0.335
58,-12.01,45.49,19.43,0.316
59,-11.52,43.87,20.57,0.289
