timestamp,temperature,humidity,stress,vibration
0,-11.63,44.85,20.18,0.252
1,-13.03,44.0,19.51,0.32
2,-11.14,45.0,18.81,0.325
3,-11.47,44.31,19.07,0.301
4,-12.36,44.24,18.93,0.313
5,-11.36,46.0,19.78,0.321
6,-12.12,45.49,19.88,0.272
7,-12.32,46.41,19.64,0.288
8,-11.08,48.03,20.05,0.361
9,-11.36,45.37,21.22,0.26
10,-12.32,42.74,20.47,0.307
11,-12.0,46.28,17.39,0.255
12,-11.47,48.1,19.28,0.324
13,-11.96,45.94,21.29,0.332
14,-12.03,42.59,19.21,0.337
15,-12.5,45.26,21.06,0.299
16,-11.98,44.27,20.3,0.304
17,-11.26,44.46,20.69,0.286
18,-11.99,45.3,19.36,0.306
19,-11.98,44.71,19.42,0.326
20,-11.88,44.8,17.37,0.253
21,-12.01,42.71,21.07,0.337
22,-11.59,47.36,21.17,0.296
23,-11.82,43.46,18.94,0.28
24,-12.11,46.96,19.07,0.324
25,-12.83,45.29,20.73,0.303
26,-11.05,46.64,22.15,0.309
27,-12.21,42.7,22.56,0.338
28,-11.85,43.74,18.52,0.252
29,-11.94,44.77,21.7,0.265
30,-12.01,43.84,19.58,0.261
31,-11.24,44.53,20.48,0.322
32,-12.89,43.01,19.78,0.295
33,-11.83,44.92,18.58,0.315
34,-12.21,44.65,19.08,0.3
35,-12.13,44.6,21.66,0.333
36,-12.59,43.85,20.43,0.312
37,-11.87,45.73,18.14,0.263
38,-11.72,45.96,20.55,0.26
39,-12.5,43.22,21.5,0.332
40,-11.6,46.86,19.82,0.28
41,-11.98,43.63,21.68,0.32
42,-11.98,43.06,20.13,0.287
43,-12.17,44.95,19.39,0.277
44,-12.58,44.47,20.46,0.31
45,-10.47,47.82,19.76,0.322
46,-11.03,42.38,19.3,0.316
47,-12.36,42.93,20.17,0.305
48,-13.11,44.33,19.99,0.323
49,-11.24,44.54,21.29,0.303
50,-11.74,43.95,18.61,0.324
51,-12.53,47.06,18.42,0.308
52,-12.13,43.46,19.53,0.31
53,-12.21,43.63,19.45,0.341
54,-11.76,42.52,20.07,0.298
55,-11.89,47.98,19.91,0.272
56,-12.72,45.41,19.59,0.302
57,-11.99,42.73,18.86,0.243
58,-12.64,47.23,20.88,0.35
59,-11.82,47.48,20.0,0.322
